Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
3389,6,01/03/2018 08:16:47,1499871,8,7,1148,1581,677,0,143.5,228.1296624,1173,0,225.8571429,430.0986044,1819.489809,10.00086007,107133.6429,263505.2504,1018143,3,1499871,214267.2857,399771.9242,1118411,3,1436952,239492,381572.3099,1018143,75957,0,0,0,0,168,148,5.333792039,4.667068035,0,1173,170.5625,319.4332416,102037.5958,0,0,0,1,0,0,0,0,0,181.9333333,143.5,225.8571429,0,0,0,0,0,0,8,1148,7,1581,8192,62852,5,20,0,0,0,0,0,0,0,0,C2
3389,6,01/03/2018 03:55:03,1404203,8,7,1132,1581,661,0,141.5,222.7920235,1173,0,225.8571429,430.0986044,1932.056832,10.68221618,100300.2143,251852.6357,968861,50,1404203,200600.4286,386900.5003,1076249,50,1340349,223391.5,365581.524,968861,63999,0,0,0,0,168,148,5.69718196,4.985034215,0,1173,169.5625,317.7627981,100973.1958,0,0,0,1,0,0,0,0,0,180.8666667,141.5,225.8571429,0,0,0,0,0,0,8,1132,7,1581,8192,62868,5,20,0,0,0,0,0,0,0,0,DNS Abuse
53,17,01/03/2018 02:28:20,1665,1,1,34,79,34,34,34,0,79,79,79,0,67867.86787,1201.201201,1665,0,1665,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,600.6006006,600.6006006,34,79,49,25.98076211,675,0,0,0,0,0,0,0,0,1,73.5,34,79,0,0,0,0,0,0,1,34,1,79,-1,-1,0,8,0,0,0,0,0,0,0,0,Evasion
445,6,01/03/2018 02:26:57,937159,5,4,373,172,140,0,74.6,70.28371077,133,0,43,62.75348596,581.5448606,9.603493111,117144.875,161156.6287,313579,43,937103,234275.75,155077.585,313622,1670,937108,312369.3333,1113.350948,313652,311653,0,0,0,0,112,92,5.33527395,4.26821916,0,140,54.5,64.19804428,4121.388889,0,0,0,1,0,0,0,0,0,60.55555556,74.6,43,0,0,0,0,0,0,5,373,4,172,8192,0,3,20,0,0,0,0,0,0,0,0,Volumetric Flooding
443,6,01/03/2018 09:23:40,235,2,0,0,0,0,0,0,0,0,0,0,0,0,8510.638298,235,0,235,235,235,235,0,235,235,0,0,0,0,0,0,0,0,0,40,0,8510.638298,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,251,-1,0,20,0,0,0,0,0,0,0,0,C2
3389,6,01/03/2018 09:53:13,2727563,8,9,1144,1581,677,0,143,227.9699228,1173,0,175.6666667,385.5612792,999.0603333,6.232669969,170472.6875,285680.6332,1171527,32,2727563,389651.8571,469914.5853,1331277,32,2619258,327407.25,360808.5401,1171527,26074,0,0,0,0,172,192,2.933021162,3.299648807,0,1173,151.3888889,305.0398506,93049.31046,0,0,1,1,0,0,0,1,1,160.2941176,143,175.6666667,0,0,0,0,0,0,8,1144,9,1581,8192,62856,5,20,0,0,0,0,0,0,0,0,TLS Anomalies
443,6,01/03/2018 02:23:49,14739606,12,15,3795,10111,1296,0,316.25,514.5891786,1460,0,674.0666667,626.1619447,943.4444856,1.831799303,566907.9231,2036307.463,9934111,1,4805494,436863.0909,1066249.771,3603485,6413,14700000,1051659.643,2743666.411,9998991,1,0,0,0,0,252,304,0.814133024,1.01766628,0,1460,496.6428571,593.5226424,352269.127,0,0,1,1,0,0,0,1,1,515.037037,316.25,674.0666667,0,0,0,0,0,0,12,3795,15,10111,8192,55480,5,20,4805494,0,4805494,4805494,9934111,0,9934111,9934111,Reconnaissance
53,17,01/03/2018 03:59:23,1074,1,1,28,78,28,28,28,0,78,78,78,0,98696.46182,1862.197393,1074,0,1074,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,931.0986965,931.0986965,28,78,44.66666667,28.86751346,833.3333333,0,0,0,0,0,0,0,0,1,67,28,78,0,0,0,0,0,0,1,28,1,78,-1,-1,0,8,0,0,0,0,0,0,0,0,TLS Anomalies
53,17,01/03/2018 09:45:14,1682,1,1,33,113,33,33,33,0,113,113,113,0,86801.42687,1189.060642,1682,0,1682,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,594.530321,594.530321,33,113,59.66666667,46.18802154,2133.333333,0,0,0,0,0,0,0,0,1,89.5,33,113,0,0,0,0,0,0,1,33,1,113,-1,-1,0,8,0,0,0,0,0,0,0,0,Tunneling
53,17,01/03/2018 02:23:51,1834,1,1,35,87,35,35,35,0,87,87,87,0,66521.26499,1090.512541,1834,0,1834,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,545.2562704,545.2562704,35,87,52.33333333,30.022214,901.3333333,0,0,0,0,0,0,0,0,1,78.5,35,87,0,0,0,0,0,0,1,35,1,87,-1,-1,0,8,0,0,0,0,0,0,0,0,C2
