Date,Duration,Protocol,Src_IP,Src_Port,Dst_IP,Dst_Port,Flags,Tos,Packets,Bytes,Flows,Label
2011-08-18 10:19:13.328,0.002,TCP,147.32.86.166,33426,212.24.150.110,25443,FRPA_,0,4,321,1,Background
2011-08-18 10:19:13.328,4.995,UDP,82.39.2.249,41915,147.32.84.59,43087,INT,0,617,40095,1,Background
2011-08-18 10:19:13.329,4.996,UDP,147.32.84.59,43087,82.39.2.249,41915,INT,0,1290,1909200,1,Background
2011-08-18 10:19:13.330,0.000,TCP,147.32.86.166,42020,147.32.192.34,993,A_,0,1,66,1,Background
2011-08-18 10:19:13.330,0.000,TCP,212.24.150.110,25443,147.32.86.166,33426,FPA_,0,2,169,1,Background
2011-08-18 10:19:13.333,4.185,TCP,115.184.37.24,49190,147.32.84.2,80,,A_,0,25,1658,Background
2011-08-18 10:19:13.335,4.978,TCP,80.78.79.156,51287,147.32.86.24,31002,PA_,0,311,70580,1,Background
2011-08-18 10:19:13.335,4.978,UDP,147.32.86.24,31002,151.41.188.39,49621,INT,0,292,64319,1,Background
2011-08-18 10:19:13.336,0.000,UDP,82.73.244.56,39051,147.32.84.118,1153,INT,0,1,145,1,Background
2011-08-18 10:19:13.336,0.000,ICMP,147.32.84.118,0,,0,->,82.73.244.56,,URP,1,Background
2011-08-18 10:19:13.337,4.988,TCP,188.95.61.42,53389,147.32.86.110,48190,PA_,0,204,178434,1,Background
2011-08-18 10:19:13.339,4.974,TCP,147.32.86.24,31002,80.78.79.156,51287,PA_,0,149,8945,1,Background
2011-08-18 10:19:13.341,4.975,TCP,192.221.106.126,80,147.32.84.59,2774,PA_,0,780,1107080,1,Background
2011-08-18 10:19:13.342,4.976,TCP,147.32.84.59,2774,192.221.106.126,80,A_,0,208,12480,1,Background
2011-08-18 10:19:13.344,4.966,TCP,212.111.2.151,8000,147.32.86.135,3978,PA_,0,115,167210,1,Background
2011-08-18 10:19:13.344,4.966,TCP,147.32.86.135,3978,212.111.2.151,8000,A_,0,58,3480,1,Background
2011-08-18 10:19:13.346,0.069,TCP,147.32.84.59,2828,95.172.94.54,80,,_FSPA,0,3,463,Background
2011-08-18 10:19:13.346,0.045,TCP,147.32.84.59,2828,95.172.94.54,80,,FPA_,0,4,739,Background
2011-08-18 10:19:13.346,4.998,UDP,114.78.14.160,31011,147.32.84.59,43087,INT,0,126,8571,1,Background
2011-08-18 10:19:13.347,4.999,UDP,147.32.84.59,43087,114.78.14.160,31011,INT,0,291,429262,1,Background
