Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Label.1
10.152.152.11-173.194.65.127-34702-19305-6,10.152.152.11,34702,173.194.65.127,19305,6,24/07/2015 04:44:00 PM,119985501,3410,3153,140910,567305,174,0,41.3225806452,44.4380154107,1418,0,179.9254678084,215.5072397739,5902.5048368136,54.6982755858,18284.8980493753,18682.6140990159,120172,5,119946877,35185.3555294808,26897.7916076992,131296,76,119984885,38066.2706218274,24068.6467056073,125369,22,1,0,0,0,68200,63060,28.4201005253,26.2781750605,0,1418,107.9117915905,167.7091099571,28126.345562598,0,0,0,3932,6563,0,0,0,0,107.9282340393,41.3225806452,179.9254678084,0,0,0,0,3932,5904,0,21,0,86,2640,5960,2082,20,0,0,0,0,1437767100971930.0,34568115.5208561,1437767160753290.0,1437767040817355.0,Non-Tor,
74.125.28.189-10.152.152.11-443-44097-6,74.125.28.189,443,10.152.152.11,44097,6,24/07/2015 04:11:57 PM,118129838,19,18,2657,4649,758,0,139.8421052632,210.7840556794,1460,0,258.2777777778,482.884446725,61.8472023978,0.313214685,3281384.38888889,8568703.67773093,29708801,19,118091906,6560661.44444444,11337740.7802169,29708890,90,118091929,6946584.05882353,11562845.5094439,29708902,166,1,0,0,0,380,360,0.1608399734,0.1523747116,0,1460,194.5,364.1251455497,132587.121621622,0,0,0,17,37,0,0,0,0,199.7567567568,139.8421052632,258.2777777778,0,0,0,0,7,3792,0,71,0,125,2640,3346,11,20,0,0,0,0,1437765197622890.0,23025020.0251647,1437765235431282.0,1437765117377726.0,Non-Tor,
10.152.152.11-216.58.220.99-57157-443-6,10.152.152.11,57157,216.58.220.99,443,6,24/07/2015 04:09:49 PM,104050917,27,32,5119,1751,693,0,189.5925925926,239.0750219008,207,0,54.71875,80.2919006782,66.0253671767,0.567030082,1793981.32758621,7175783.68562281,45045224,14,104050582,4001945.46153846,10402819.5183761,45045533,320,104050660,3356472.90322581,9616919.22073357,45045559,217,1,0,0,0,540,640,0.2594883426,0.3075417394,0,693,126.05,196.5464041468,38630.4889830509,0,0,0,31,59,0,0,0,1,128.186440678,189.5925925926,54.71875,0,0,0,0,7,1306,0,86,0,29,2640,2598,18,20,0,0,0,0,1437765015090560.0,25545709.8150273,1437765093949282.0,1437764989899369.0,Non-Tor,
10.152.152.11-10.152.152.10-55219-53-17,10.152.152.11,55219,10.152.152.10,53,17,24/07/2015 04:53:39 PM,318960,1,1,41,57,41,41,41.0,0.0,57,57,57.0,0.0,307.2485578129,6.2703787309,318960.0,0.0,318960,318960,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3.1351893654,3.1351893654,41,57,46.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,69.5,41.0,57.0,0,0,0,0,0,0,0,20,0,28,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,Non-Tor,
10.152.152.11-173.194.33.105-34481-443-6,10.152.152.11,34481,173.194.33.105,443,6,24/07/2015 04:18:51 PM,74939722,12,12,4132,340,1460,0,344.3333333333,584.6212967435,117,0,28.3333333333,43.4873719044,59.6746275627,0.320257393,3258248.7826087,10938481.2346743,45023412,13,74939294,6812663.09090909,15381968.6223205,45024057,57,74939077,6812643.36363637,15381843.3992801,45023604,13,0,0,0,0,240,240,0.1601286965,0.1601286965,0,1460,178.88,428.8002953979,183869.693333333,0,0,0,8,24,0,0,0,1,186.3333333333,344.3333333333,28.3333333333,0,0,0,0,10,5769,0,172,0,14,2640,2970,6,20,0,0,0,0,1437765600343520.0,17557889.24819,1437765606872935.0,1437765531934525.0,Non-Tor,
10.152.152.11-216.58.216.142-57361-443-6,10.152.152.11,57361,216.58.216.142,443,6,24/07/2015 04:49:50 PM,119410193,329,335,181851,28693,1460,0,552.7386018237,605.4577675544,953,0,85.6507462687,184.9563481217,1763.199562034,5.5606643229,180105.871794872,773622.193182605,8179150,7,119410059,364055.057926829,1072562.82909913,8179341,22,119409699,357514.068862275,1061551.7330749,8179409,7,0,0,0,0,6580,6700,2.755208678,2.8054556448,0,1460,318.8030075188,504.7685787202,254791.31806323,0,0,0,262,664,0,0,0,1,319.2831325301,552.7386018237,85.6507462687,0,0,0,0,14,5470,0,273,0,43,21142,8323,231,20,0,0,0,0,1437767450361950.0,35489279.5375456,1437767510047232.0,1437767390637213.0,Non-Tor,
10.152.152.11-74.125.136.188-50953-5228-6,10.152.152.11,50953,74.125.136.188,5228,6,24/07/2015 04:23:25 PM,90112599,3,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0665833642,18022519.8,24677830.3449246,45055857,233,90112087,45056043.5,65.7609306503,45056090,45055997,90112366,45056183.0,100.4091629285,45056254,45056112,0,0,0,0,60,60,0.0332916821,0.0332916821,0,0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2373,1315,0,20,0,0,0,0,1437765850365840.0,36787686.2001662,1437765895421236.0,1437765805310176.0,Non-Tor,
10.152.152.11-74.125.136.188-50953-5228-6,10.152.152.11,50953,74.125.136.188,5228,6,24/07/2015 04:32:25 PM,89372498,4,4,53,53,53,0,13.25,26.5,53,0,13.25,26.5,1.1860471887,0.0895129954,12767499.7142857,21689268.4689434,45055733,26,89372498,29790832.6666667,25506685.0698952,45056006,344905,89372199,29790733.0,25507068.288361,45056058,344361,0,0,0,0,80,80,0.0447564977,0.0447564977,0,53,11.7777777778,23.3708032477,546.1944444444,0,0,0,2,8,0,0,0,1,13.25,13.25,13.25,0,0,0,0,0,0,0,6,0,6,2373,1315,1,20,0,0,0,0,1437766405571671.0,36313842.1580267,1437766435353535.0,1437766345982179.0,Non-Tor,
74.125.228.199-10.152.152.11-443-60669-6,74.125.228.199,443,10.152.152.11,60669,6,24/07/2015 04:57:45 PM,16,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,125000.0,16.0,0.0,16,16,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,62500.0,62500.0,0,0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1329,2640,0,20,0,0,0,0,0.0,0.0,0.0,0.0,Non-Tor,
10.152.152.11-74.125.136.188-50953-5228-6,10.152.152.11,50953,74.125.136.188,5228,6,24/07/2015 04:34:40 PM,90112826,3,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0665831965,18022565.2,24677971.474753,45056015,202,90112316,45056158.0,161.2203461105,45056272,45056044,90112624,45056312.0,301.2274887855,45056525,45056099,0,0,0,0,60,60,0.0332915982,0.0332915982,0,0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2373,1315,0,20,0,0,0,0,1437766525437830.0,36787906.653111,1437766570493594.0,1437766480381994.0,Non-Tor,
