L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label
45197,53,17,0.0,148,0,2,0,0,4289927,0
50309,53,17,0.0,148,0,2,0,0,4289921,0
39709,786,17,0.0,28,0,1,0,0,0,0
55686,53,17,0.0,148,0,2,0,0,4289927,0
41443,53,17,5.126,67,245,1,1,0,4294771,0
59373,53,17,5.126,67,245,1,1,0,4294786,0
2536,1,6,238.0,40,40,1,1,20,4294967,0
53585,1012,17,0.0,28,0,1,0,0,0,0
57004,16697,17,0.0,28,0,1,0,0,0,0
44749,53,17,5.126,67,245,1,1,0,4294734,0
3117,1,6,238.0,40,40,1,1,20,4294967,0
3306,58268,6,20.0,242,120,3,3,29,4294967,0
36849,22996,17,0.0,28,0,1,0,0,0,0
36766,3306,6,0.0,434,497,7,6,27,4294768,0
80,80,6,7.0,2420400,0,2640,0,0,4175010,0
41307,8883,6,222.178,37189,2340,45,45,24,4176922,0
40086,3306,6,0.0,434,497,7,6,27,4294769,0
37340,3306,6,0.0,434,497,7,6,27,4294767,0
1448,1,6,238.0,40,40,1,1,20,4294967,0
4378,1,6,238.0,40,40,1,1,20,4294967,0
46489,53,17,0.0,148,0,2,0,0,4289919,0
54388,3306,6,0.0,434,497,7,6,27,4294768,0
44241,53,17,0.0,148,0,2,0,0,4289919,0
34195,53,17,0.0,148,0,2,0,0,4289919,0
4103,1,6,238.0,40,40,1,1,20,4294967,0
53585,6000,17,190.0,28,0,1,0,0,0,0
57004,25546,17,0.0,28,0,1,0,0,0,0
57004,20359,17,0.0,28,0,1,0,0,0,0
36228,1047,17,0.0,28,0,1,0,0,0,0
58028,8883,6,222.178,37455,2600,50,50,24,4179910,0
4556,1,6,238.0,40,40,1,1,20,4294967,0
48650,3306,6,0.0,434,497,7,6,27,4294769,0
37715,53,17,0.0,67,1195,1,1,0,4294824,0
49234,53,17,0.0,148,0,2,0,0,4289919,0
3306,48460,6,20.0,294,120,4,3,29,4294967,0
34402,1059,17,0.0,28,0,1,0,0,0,0
34402,16938,17,0.0,28,0,1,0,0,0,0
80,80,17,0.0,8515246,0,9008,0,0,4174974,0
80,80,6,7.0,8850241,0,9598,0,0,4174974,0
39795,53,17,0.0,148,0,2,0,0,4289919,0
80,33878,6,7.0,643,156,3,3,25,4294925,0
11016,53,17,5.178,79,312,1,1,0,4294957,0
43849,53,17,0.0,148,0,2,0,0,4289920,0
43253,53,17,0.0,148,0,2,0,0,4289921,0
54735,53,17,5.126,67,245,1,1,0,4294679,0
47845,944,17,0.0,28,0,1,0,0,0,0
3949,1,6,238.0,40,40,1,1,20,4294967,0
1481,1,6,238.0,40,40,1,1,20,4294967,0
36228,54807,17,0.0,28,0,1,0,0,0,0
3456,80,17,0.0,8985387,9420086,9598,9598,0,4174973,0
3306,55030,6,20.0,294,120,4,3,29,4294967,0
39896,3306,6,0.0,434,497,7,6,27,4294769,0
36850,67,17,18.0,28,0,1,0,0,0,0
53585,1021,17,0.0,28,0,1,0,0,0,0
36228,18807,17,0.0,28,0,1,0,0,0,0
40585,53,17,5.126,62,137,1,1,0,4294822,0
4549,1,6,238.0,40,40,1,1,20,4294967,0
52720,53,17,0.0,144,0,2,0,0,4292466,0
53585,26720,17,0.0,28,0,1,0,0,0,0
55561,53,17,5.126,62,137,1,1,0,4294823,0
50790,53,17,0.0,148,0,2,0,0,4289926,0
4245,1,6,238.0,40,40,1,1,20,4294967,0
80,80,6,7.0,2420400,0,2640,0,0,4174989,0
42038,53,17,0.0,144,0,2,0,0,4289921,0
37290,3306,6,0.0,434,497,7,6,27,4294767,0
3306,50320,6,20.0,294,120,4,3,29,4294967,0
17146,53,17,0.0,80,835,1,1,0,4294912,0
80,80,6,7.0,2419807,0,2639,0,0,4175017,0
36849,21,17,0.0,28,0,1,0,0,0,0
40040,3306,6,0.0,434,497,7,6,27,4294769,0
80,80,6,7.0,234624,0,832,0,0,4175133,0
3197,1,6,238.0,40,40,1,1,20,4294967,0
53854,3306,6,0.0,434,497,7,6,27,4294767,0
0,0,1,0.0,56,0,1,0,0,0,0
52101,53,17,5.126,72,72,1,1,0,4294960,0
49547,53,17,0.0,144,0,2,0,0,4289917,0
1445,1,6,238.0,40,40,1,1,20,4294967,0
80,80,17,0.0,2320355,0,2518,0,0,4174985,0
35880,53,17,5.126,62,137,1,1,0,4294823,0
35738,53,17,0.0,148,0,2,0,0,4289927,0
44281,53,17,0.0,144,0,2,0,0,4289914,0
365,565,17,0.0,18032,0,392,0,0,4262432,0
53585,37761,17,0.0,28,0,1,0,0,0,0
3396,1,6,238.0,40,40,1,1,20,4294967,0
58028,8883,6,222.178,39388,5096,98,98,24,4179458,0
61787,445,17,0.0,28,0,1,0,0,0,0
4195,1,6,238.0,40,40,1,1,20,4294967,0
41859,1057,17,0.0,28,0,1,0,0,0,0
37187,53,17,0.0,144,0,2,0,0,4289924,0
53754,3306,6,0.0,434,497,7,6,27,4294768,0
