Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Device,Attack Name,Label,Attack_Type
192.168.137.241-52.210.128.146-54381-443-6,192.168.137.241,54381,52.210.128.146,443,6,12/10/21 9:35,1767,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1131.861913,1767.0,0.0,1767.0,1767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,565.9309564,565.9309564,0,0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1000,115,0,32,0.0,0.0,0.0,0.0,0,0,0,0,ArloQ Camera,Benign Traffic,0,Benign
54.185.77.173-192.168.137.241-443-60414-6,54.185.77.173,443,192.168.137.241,60414,6,12/10/21 9:35,2661380,2,2,730,0,422,308,365.0,80.61017306,0,0,0.0,0.0,274.2937874,1.502979657,887126.6667,1523023.995,2645759.0,4445.0,2650204.0,2650204.0,0.0,2650204.0,2650204.0,2656935.0,2656935.0,0.0,2656935.0,2656935.0,1,0,0,0,64,64,0.751489829,0.751489829,0,422,207.6,195.1430245,38080.8,0,0,0,2,4,0,0,0,1,259.5,365.0,0.0,0,0,0,0,0,0,2,730,2,0,219,1321,1,32,0.0,0.0,0.0,0.0,0,0,0,0,ArloQ Camera,Benign Traffic,0,Benign
192.168.137.241-18.200.42.113-33376-443-6,192.168.137.241,33376,18.200.42.113,443,6,12/10/21 9:35,2566358,136,93,188025,0,1448,0,1382.536765,252.1375553,0,0,0.0,0.0,73265.30437,89.23151018,11255.95614,54005.44702,499931.0,0.0,2566358.0,19010.05926,84869.04698,597167.0,0.0,2124624.0,23093.73913,92932.004,597678.0,13.0,0,0,0,0,4352,2976,52.99338596,36.23812422,0,1448,823.7956522,707.2412342,500190.1633,0,0,1,10,229,0,0,0,0,827.3930131,1382.536765,0.0,0,0,0,188025,135,73397,0,0,0,0,1090,4056,134,32,0.0,0.0,0.0,0.0,0,0,0,0,ArloQ Camera,Benign Traffic,0,Benign
18.200.42.113-192.168.137.241-443-33376-6,18.200.42.113,443,192.168.137.241,33376,6,12/10/21 9:35,4454,4,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1122.586439,1113.5,1382.917086,3128.0,38.0,4012.0,1337.333333,1602.523427,3128.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,20,898.0691513,224.5172878,0,0,0.0,0.0,0.0,0,0,1,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4056,0,0,32,0.0,0.0,0.0,0.0,0,0,0,0,ArloQ Camera,Benign Traffic,0,Benign
192.168.137.241-18.200.42.113-33376-443-6,192.168.137.241,33376,18.200.42.113,443,6,12/10/21 9:35,1220,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1639.344262,1220.0,0.0,1220.0,1220.0,1220.0,1220.0,0.0,1220.0,1220.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1639.344262,0.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0,0,0,0,ArloQ Camera,Benign Traffic,0,Benign
18.200.42.113-192.168.137.241-443-33376-6,18.200.42.113,443,192.168.137.241,33376,6,12/10/21 9:35,342,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5847.953216,342.0,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,2923.976608,2923.976608,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4056,0,0,32,0.0,0.0,0.0,0.0,0,0,0,0,ArloQ Camera,Benign Traffic,0,Benign
18.200.42.113-192.168.137.241-443-33376-6,18.200.42.113,443,192.168.137.241,33376,6,12/10/21 9:35,1203,6,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5818.786367,200.5,354.9668999,912.0,14.0,1012.0,202.4,396.8309464,912.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,20,4987.531172,831.2551953,0,0,0.0,0.0,0.0,0,0,1,0,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4056,0,0,32,0.0,0.0,0.0,0.0,0,0,0,0,ArloQ Camera,Benign Traffic,0,Benign
192.168.137.241-18.200.42.113-33376-443-6,192.168.137.241,33376,18.200.42.113,443,6,12/10/21 9:35,0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,5937.81503623843,522.339035455309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0,0,0,0,ArloQ Camera,Benign Traffic,0,Benign
192.168.137.241-18.200.42.113-33376-443-6,192.168.137.241,33376,18.200.42.113,443,6,12/10/21 9:35,0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,5937.81503623843,522.339035455309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0,0,0,0,ArloQ Camera,Benign Traffic,0,Benign
192.168.137.241-18.200.42.113-33376-443-6,192.168.137.241,33376,18.200.42.113,443,6,12/10/21 9:35,0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,5937.81503623843,522.339035455309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0,0,0,0,ArloQ Camera,Benign Traffic,0,Benign
