Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
19.92,6,63.36,25893.962217557724,0.0,0.0,0.0,0.99,0.99,0.0,0.0,99,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6421.0,60.0,481.0,64.21,42.09999999999997,64.21,3.861904144287109e-05,100.0,1772.4099999999978,DDOS-PSHACK_FLOOD
0.0,47,64.0,3703.841330954946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,1.0,57320.0,98.0,578.0,573.2,48.00000000000007,573.2,0.0002707815170288,100.0,2304.000000000007,MIRAI-GREIP_FLOOD
7.92,17,65.91,19673.095684803004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.0000000000000009,60.1,5.74493408203125e-05,100.0,1.0000000000000018,DOS-UDP_FLOOD
20.4,6,110.5,261.6648262868622,0.1,0.0,0.3,0.2,0.4,0.0,0.0,4,0,1,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.9,0.9,2223.0,54.0,1500.0,222.3,451.5966858455304,222.3,0.0047659873962402,10.0,203939.56666666668,DNS_SPOOFING
0.32,1,63.96,28944.19984818163,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.99,0.0,1.0,1.0,6006.0,60.0,66.0,60.06,0.5999999999999994,60.06,3.455877304077148e-05,100.0,0.3599999999999992,DDOS-ICMP_FLOOD
20.0,6,64.0,47281.07315973396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.1150112152099608e-05,100.0,0.0,DDOS-TCP_FLOOD
20.0,6,64.0,99698.2172569527,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,1.0030269622802734e-05,100.0,0.0,DDOS-PSHACK_FLOOD
20.84,6,64.0,28555.99128540305,0.0,1.0,0.0,0.0,0.21,0.0,0.0,21,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15006.0,60.0,174.0,150.06,46.66706060439788,150.06,3.548860549926758e-05,100.0,2177.8145454545447,DDOS-SYN_FLOOD
8.0,17,64.0,43518.40630836273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.29787826538086e-05,100.0,0.0,DDOS-UDP_FLOOD
52.0,6,64.0,322638.76923076925,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,860.0,86.0,86.0,86.0,0.0,86.0,3.2186508178710938e-06,10.0,0.0,MITM-ARPSPOOFING
20.0,6,64.0,36494.42269207344,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.740144729614258e-05,100.0,0.0,DDOS-PSHACK_FLOOD
