Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label,Attack_Type
34.173.20.6-192.168.137.234-443-58646-6,34.173.20.6,443,192.168.137.234,58646,6,14/09/2023 09:24:41 AM,60102110,18,0,4135.0,0.0,1408.0,0.0,229.72222222222223,490.4605045627504,0.0,0.0,0.0,0.0,68.79958124598288,0.2994903173948468,3535418.235294117,6531527.007465927,15061923.0,1.0,60102110.0,3535418.235294117,6531527.007465927,15061923.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,584,0,0.2994903173948468,0.0,0.0,1408.0,217.63157894736844,479.5466853100049,229965.0233918129,1,1,1,7,18,0,0,0,0.0,229.72222222222223,229.72222222222223,0.0,0,0,0,4072,6,56313,4,1033,0,0,43648,0,8,32,219123.0,0.0,219123.0,219123.0,14957706.0,190543.2486654936,15061923.0,14672051.0,Benign Traffic,0,Benign Traffic
52.40.210.103-192.168.137.40-18665-60378-6,52.40.210.103,18665,192.168.137.40,60378,6,14/09/2023 09:24:14 AM,90106769,9,0,1164.0,0.0,194.0,0.0,129.33333333333331,97.0,0.0,0.0,0.0,0.0,12.918008412886271,0.0998815083470588,11263346.125,15385499.934522444,30049066.0,4.0,90106769.0,11263346.125,15385499.934522444,30049066.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,312,0,0.0998815083470588,0.0,0.0,194.0,135.8,93.7109029586917,8781.733333333334,0,0,0,6,9,0,0,0,0.0,150.88888888888889,129.33333333333334,0.0,0,0,0,0,0,0,3,388,0,0,850,0,5,32,582529.0,0.0,582529.0,582529.0,29841412.0,319090.53814082296,30049066.0,29473997.0,Benign Traffic,0,Benign Traffic
10.0.0.3-10.0.0.254-44505-1883-6,10.0.0.3,44505,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998980,123,123,2157.0,4.0,20.0,0.0,17.536585365853654,2.3092567923959235,2.0,0.0,0.032520325203252,0.2539833268567149,18.008486405467778,2.0500174251481136,489791.7551020408,500156.7048646154,1008475.0,29.0,119998868.0,983597.2786885246,127166.60073339612,1008531.0,2539.0,119998918.0,983597.6885245898,127738.75747752593,1042745.0,104.0,1,0,0,0,3936,3936,1.0250087125740568,1.0250087125740568,0.0,20.0,8.821862348178144,8.92292241841427,79.61854448503996,0,0,0,123,246,0,0,0,1.0,8.857723577235772,17.536585365853657,0.032520325203252,0,0,0,72,4,24,2,38,2,0,502,64,120,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign Traffic,0,Benign Traffic
10.0.0.7-10.0.0.254-45727-1883-6,10.0.0.7,45727,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998539,123,123,5411.0,4.0,46.0,0.0,43.99186991869919,5.699433297913608,2.0,0.0,0.032520325203252,0.2539833268567149,45.125549403564,2.0500249590538764,489789.95510204096,500171.8878536251,1007898.0,9.0,119998518.0,983594.4098360656,127317.74309130565,1007992.0,1432.0,119998515.0,983594.385245902,127764.33725091055,1043184.0,78.0,1,0,0,0,3936,3936,1.0250124795269382,1.0250124795269382,0.0,46.0,22.101214574898787,22.38761177795517,501.20516112043714,0,0,0,123,246,0,0,0,1.0,22.191056910569102,43.99186991869919,0.032520325203252,0,0,0,136,4,68,1,83,1,0,502,64,120,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign Traffic,0,Benign Traffic
10.0.0.2-10.0.0.254-41473-1883-6,10.0.0.2,41473,10.0.0.254,1883,6,14/09/2023 09:24:16 AM,116002162,34,34,664.0,4.0,22.0,0.0,19.52941176470588,6.876553462475344,2.0,0.0,0.1176470588235294,0.4776651472212257,5.758513362880254,0.5861959710716427,1731375.5522388064,1948119.5135847405,4007210.0,7.0,116002136.0,3515216.2424242427,1175577.6010893015,4007226.0,1474.0,116002139.0,3515216.333333333,1169068.526138242,4007257.0,82.0,1,0,0,0,1088,1088,0.2930979855358213,0.2930979855358213,0.0,22.0,9.999999999999996,10.92756902087021,119.41176470588232,0,0,0,34,68,0,0,0,1.0,10.147058823529411,19.529411764705884,0.1176470588235294,0,0,0,0,0,0,1,22,1,0,502,64,31,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign Traffic,0,Benign Traffic
10.0.0.7-10.0.0.254-45233-1883-6,10.0.0.7,45233,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998530,123,123,5412.0,4.0,47.0,0.0,43.99999999999999,5.703033417746596,2.0,0.0,0.032520325203252,0.2539833268567149,45.13388622343957,2.050025112807632,489789.9183673471,500172.563944834,1009018.0,7.0,119998505.0,983594.3032786888,127166.42627134832,1009034.0,2709.0,119998470.0,983594.0163934428,127782.40046466544,1045441.0,71.0,1,0,0,0,3936,3936,1.025012556403816,1.025012556403816,0.0,47.0,22.10931174089069,22.39610598620912,501.585563345512,0,0,0,123,246,0,0,0,1.0,22.19918699186992,44.0,0.032520325203252,0,0,0,177,4,59,2,94,2,0,502,64,120,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign Traffic,0,Benign Traffic
10.0.0.2-10.0.0.254-39485-1883-6,10.0.0.2,39485,10.0.0.254,1883,6,14/09/2023 09:24:16 AM,116001514,34,34,664.0,4.0,22.0,0.0,19.52941176470588,6.876553462475344,2.0,0.0,0.1176470588235294,0.4776651472212257,5.75854553070747,0.5861992456408802,1731365.8805970154,1948106.19863066,4007414.0,11.0,116001463.0,3515195.848484849,1175632.4148042386,4007434.0,1461.0,116001485.0,3515196.5151515147,1169058.122676171,4007509.0,71.0,1,0,0,0,1088,1088,0.2930996228204401,0.2930996228204401,0.0,22.0,9.999999999999996,10.92756902087021,119.41176470588232,0,0,0,34,68,0,0,0,1.0,10.147058823529411,19.529411764705884,0.1176470588235294,0,0,0,0,0,0,1,22,1,0,502,64,31,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign Traffic,0,Benign Traffic
10.0.0.3-10.0.0.254-35497-1883-6,10.0.0.3,35497,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998432,123,123,2158.0,4.0,20.0,0.0,17.544715447154474,2.3162010746837125,2.0,0.0,0.032520325203252,0.2539833268567149,18.01690208752061,2.050026787016684,489789.5183673471,500154.66439474944,1009053.0,7.0,119998406.0,983593.4918032782,127184.53673683264,1009085.0,2605.0,119998383.0,983593.3032786888,127786.49508586092,1045574.0,33.0,1,0,0,0,3936,3936,1.025013393508342,1.025013393508342,0.0,20.0,8.825910931174088,8.927784840296953,79.70534215463609,0,0,0,123,246,0,0,0,1.0,8.861788617886178,17.54471544715447,0.032520325203252,0,0,0,79,4,23,2,36,2,0,502,64,120,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign Traffic,0,Benign Traffic
10.0.0.12-10.0.0.254-37281-1883-6,10.0.0.12,37281,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998092,123,123,2303.0,4.0,21.0,0.0,18.72357723577236,2.43034374215898,2.0,0.0,0.032520325203252,0.2539833268567149,19.22530568236035,2.0500325955182688,489788.130612245,500200.7328786468,1010166.0,8.0,119998065.0,983590.6967213112,127314.1939291644,1010251.0,1494.0,119998055.0,983590.6147540982,127764.23206217434,1042605.0,37.0,1,0,0,0,3936,3936,1.0250162977591344,1.0250162977591344,0.0,21.0,9.417004048582992,9.522341846406324,90.674994239821,0,0,0,123,246,0,0,0,1.0,9.455284552845528,18.72357723577236,0.032520325203252,0,0,0,95,5,23,1,36,1,0,502,64,120,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign Traffic,0,Benign Traffic
10.0.0.12-10.0.0.254-46693-1883-6,10.0.0.12,46693,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998842,123,123,2303.0,4.0,21.0,0.0,18.72357723577236,2.43034374215898,2.0,0.0,0.032520325203252,0.2539833268567149,19.2251855230403,2.050019782690903,489791.19183673465,500164.0645539942,1010102.0,7.0,119998749.0,983596.3032786888,127177.99084051288,1010119.0,2695.0,119998817.0,983596.8606557376,127776.35665103883,1045032.0,61.0,1,0,0,0,3936,3936,1.0250098913454515,1.0250098913454515,0.0,21.0,9.417004048582992,9.522341846406324,90.674994239821,0,0,0,123,246,0,0,0,1.0,9.455284552845528,18.72357723577236,0.032520325203252,0,0,0,76,4,25,1,37,1,0,502,64,120,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign Traffic,0,Benign Traffic
